text
"[기고] 총선 위기를 서울 편입 이슈로 반전시키려는 선동 정치"
"[대표칼럼] 김포 서울시 편입, 진정성에 달렸다"
"[기고] 경기도는 김포를 북도에 편입시킬 계획을 갖고 있지 않다"
"[기자회견 영상] 김검시대, ""서울편입 찬성"" 공식화... ""김포의 미래는 김포시민이 결정"
"[영상-질의 답변 포함] 시민의힘, ""김포는 김포다. 김포 팔아먹는 혹세무민 멈춰라"
"[영상-질의 답변 포함] ""서울 편입 단 한 차례도 논의 없었다... 교통문제 먼저 해결해야"
"[영상] ""김포시 쪽에서 먼저 논의 제기... 조만간 시장님 뵙게 될 것 같다"" 편입논의 부정 안해"
"닻 올린 김포 서울시 편입론... 홍철호, 서울 인프라 그대로 김포가 누릴 수 있다"
"홍철호, ""5호선, 드라마틱한 결과 나올 수 있어... 급부상하는 제3의 절충안 있다"
“서울 팽창주의 전략은 대도시 문제 해결도, 글로벌 경쟁력 제고도 아니다”... ‘수도권 메가시티 전략 대토론회’ 열려"
"고양시, 공공기관 조직진단 용역 최종보고회 열려... 기관별 구조개혁안과 적정인력 제시"
"[기획] 서울 편입되면 아이 낳고 기르기 좋은 도시 된다"
"오세훈, ""생활권과 행정구역 불일치가 시민에게 끼쳐온 불편 해소하는데 집중해야"
“오직 시민만 보고 뛸 것”... 서울 편입 소통광장 마무리	"
"“김포 정체성은 우리가 만들어 갈 것”"
"서울 아래 김포, 강남 제치고 도시브랜드 1위 기염... 서울 편입 파급력 입증"
"5호선 노선 막판 조율 한창... 감정역 설치안 급부상	"
"국민의힘 김진태 강원지사, ""5호선 김포 연장 예타 면제 유감... 예타완박"" 비판"
"김주영, ""김포 교통문제 해결 위해 서울편입 들고 나섰던 국민의힘, 정작 5호선 연장 관건 예타면제 반대"
"박진호, 원 장관에게 “5호선 김포경찰서·감정역 추가” 건의"
"전국예능인노조·월남전참전김포지회·김포행동시민연대, “김포 서울편입 적극 지지” 입장 표명"
"“서울편입, 서울과 김포 윈윈할 수 있도록 최선”"
"김포행동시민연대ㆍ전국예능인노동조합연맹ㆍ김포시월남참전자회, 서울 편입 찬성 기자회견... 27일 오후 2시 김포시청"
"[기획] 서울 편입 되면 복지 더 좋아진다"
"김포시의회, 서울 통합특별법 찬성 결의안 채택... 민주당, ""일방적 진행 유감, 다양한 의견 들어야"" 반발"
", “서울편입, 김포시민들의 삶의 질 달라질 것”"
"5호선, 서울편입, 출입국·이민청, 조직개편, 생활체육시설, 반려동물, 재정 효율화","김병수 시장, 2024년 시정 방향 제시"
"“서울·경기북도·남도 선택해야”... 월곶·하성 북부권 시민들 만나 서울 편입 설파"
"연세대 간호대학생과 정담회 개최"
"김포시통리장협의회 정담회 갖고 ‘소통’"
"김경한 전 김포시장 후보, ""심려 끼쳐 죄송하다"" 사과... 발언 철회는 안해"
"김포시, 시민 소통 박차... 서울편입 관심 고조"
"시민 의견경청 행보 지속... 김포시전국향우회연대 정담회 가져"
" 김포 정착 외국인주민들 만나 소통"
"김동연, “경기북부특자도 주민 투표 12월 중순까지 가부 답해 달라”... 정부 결단 촉구"
"[기획] 서울 편입되면 ""고교평준화 적용, 특목고·자사고 등 선택 폭 확대"
"시흥~수원 민자도로 KDI 적격성 조사 통과... B/C값 1.0 이상 '사업추진 본격화'"
"인천 서구 주민들, ""매립지 연장 꼼수, 학운리 광역 소각장 반대"" 집회... 11/24 김포시청 앞"
"김검시대, 국민의힘 홍철호 당협위원장 대담... 12/1 오전 10시 유튜브 생중계"
"이동환 고양시장, ""수도권 재편 다자협의체 제안, 오세훈 서울시장 수용"
"보훈단체장 초청 간담회 열어"
"공중·식품관련 단체장 간담회 개최"
"서울편입, 김포시민 10명 중 5명 찬성... 4명은 반대"
"오세훈, “서울 편입, 긴 호흡 가지고 필요한 연구와 분석 지속”"
"김경한 전 김포시장 후보, ""통과 가능성 없는 것 알면서도 서울 편입 특별법 띄우고 선동 몰두, 시민 기만 넘어 조롱"
"[기획] 서울 편입 되면 ‘일상이 문화가 되는 김포’ 된다"
" 해병전우회ㆍ특전동지회ㆍ새마을회 만나 서울 편입 추진 설명"
"“서울편입, 총선용 아냐... 김포특수상황 이해 필요”"
"김검시대, ""서울편입 찬성"" 공식화... ""김포의 미래는 김포시민이 결정"""
"서울-김포 통합 윤명철 교수 초청 강연회... 11/22(수) 16시 김포시민회관 다목적홀"
